title	author	genre	pages	language	country	publisher
Armageddons	edited by  jack dann and gardner dozois	science fiction	xiii, 269 pp.		united states	ace books
Future Sports	edited by  jack dann and gardner dozois	science fiction	x, 257 pp.		united states	ace books
Future Crimes	edited by  jack dann and gardner dozois	science fiction	x, 276 pp.		united states	ace books
A.I.s	edited by  jack dann and gardner dozois	science fiction	x, 294 pp.		united states	ace books
Beyond Flesh	edited by  jack dann and gardner dozois	science fiction	xi, 260 pp.		united states	ace books
Genometry	edited by  jack dann and gardner dozois	science fiction	x, 272 pp.		united states	ace books
Space Soldiers	edited by  jack dann and gardner dozois	science fiction	280 pp.		united states	ace books
The Good Old Stuff	edited by gardner dozois	science fiction	xxv, 434 pp.		united states	st. martin's press
The Good New Stuff	edited by gardner dozois	science fiction	450 pp.		united states	st. martin's press
Modern Classics of Fantasy	edited by gardner dozois	fantasy	xxiii, 647 pp.		united states	st. martin's press
The Fantasy Hall of Fame (1983 anthology)		fantasy	x, 292 pp.		united states	arbor house
The Fantasy Hall of Fame (1998 anthology)	edited by robert silverberg	fantasy	xii, 562 pp.		united states	harperprism
The Sword of Thongor	robert m. price	fantasy	210 pp		united states	surinam turtle press
Dinosaurs (anthology)		science fiction	xi, 288 pp.		united states	donald i. fine
The Red Car	marcy dermansky	fiction	208 pp		united states	
Truevine	beth macy	non-fiction	432 pages		united states	little, brown and company
Collector of Names	miha mazzini	novel	218 pp			severed press
Queen Sugar (novel)	natalie baszile	fiction	384 pp (first edition)		united states	pamela dorman books
Paloma Negra (novel)	miha mazzini	novel	280 pp			open books
Malela Jeev	pannalal patel	novel	272 (gujarati ed. 2014)		india	sanjeevani
Cécile (novel)	f. l. lucas	historical novel				chatto  &  windus
Manvini Bhavai	pannalal patel	novel			india	
Gora (novel)	rabindranath tagore	novel	624		british india	
The Mammoth Book of Classic Science Fiction		science fiction	xiii, 572		united kingdom	robinson
The Mammoth Book of Golden Age Science Fiction		science fiction	504		united kingdom	robinson
The Mammoth Book of Vintage Science Fiction		science fiction	503		united kingdom	robinson
The Mammoth Book of New World Science Fiction		science fiction	506		united kingdom	robinson
The Mammoth Book of Fantastic Science Fiction		science fiction	535		united kingdom	robinson
The Mammoth Book of Modern Science Fiction		science fiction	534 pp.		united kingdom	robinson
The Ogre's Wife	richard parks	fantasy	270 pp.		united states	obscura press
Worshipping Small Gods	richard parks	fantasy	249 pp.		united states	prime books
All Shadows Fled	ed greenwood	fantasy novel			united states	
War in Tethyr	victor milán	fantasy novel			united states	
Dark Knight of Karameikos	timothy brown	fantasy novel			united states	
On the Banks of the River of Heaven	richard parks	fantasy	256 pp.		united states	prime books
Yamada Monogatari: Demon Hunter	richard parks	fantasy	333 pp.		united states	prime books
The Legend Book of Science Fiction	edited by gardner dozois	science fiction	vii, 672 pp.		united kingdom	legend
Children of the Fleet	orson scott card	science fiction	304		united states	tor books
The Best of Astounding: Classic Short Novels from the Golden Age of Science Fiction	edited by james gunn	science fiction	x, 438 pp.		united states	carroll  &  graf
The Hamptons: Food, Family and History	ricky lauren	non-fiction			united states	houghton mifflin harcourt
The Path of the King	john buchan	novel	310		various countries	hodder  &  stoughton
America's 60 Families	ferdinand lundberg	non-fiction	495 (1937 printing)		united states	vanguard press
Doctor Dido	f. l. lucas	historical novel				cassell
Another Day in the Death of America	gary younge	non-fiction	267 pp.			
Memoirs of a Peasant Boy	xosé neira vilas	novel			galicia	editorial follas novas  ediciós do castro
The Year's Best S-F 11th Annual Edition (Judith Merril anthology)	edited by judith merril	science fiction	384 pp		united states	delacorte press
The Catch Trap	marion zimmer bradley	fiction	589 (first edition, hardback)		united states	random house
Tamil Tigers' Debt to America	daya gamage	non-fiction	654		united states	createspace independent publishing platform
Curse of the Shadowmage	mark anthony	fantasy novel			united states	
Blood Hostages	j. robert king	fantasy novel			united states	
Escape from Undermountain	mark anthony	fantasy novel			united states	
Modern Classic Short Novels of Science Fiction	edited by gardner dozois	science fiction	xii, 657 pp.		united states	st. martin's press
The Furious Masters	margot bennett	science fiction	240		uk	
Daughters and Sons	ivy compton-burnett	novel	320		united kingdom	victor gollancz
Nebula Award Stories Eight	edited by isaac asimov	science fiction	xx, 248 pp.		united states	harper  &  row
Sir Quixote of the Moors	john buchan	novel			scotland	t fisher unwin
John Burnet of Barns	john buchan	novel			scotland	john lane
A Lost Lady of Old Years	john buchan	novel			scotland	john lane
The Heart of What Was Lost	tad williams	fantasy	210 (hardback)			daw books (us), hodder books (uk)
Nebula Award Stories 11	edited by ursula k. le guin	science fiction	255		united kingdom	gollancz
The Blanket of the Dark	john buchan	novel	314		england	hodder  &  stoughton
Fero (novel)	radheshyam sharma	novel	94		india	rekha prakashan, ahmedabad
Lucky Boy (novel)	shanthi sekaran	fiction	472 pp		united states	putnam
The Magic Walking Stick	john buchan	children's novel	215		england	hodder  &  stoughton
Nebula Awards 33		science fiction	xiii, 272 pp.		united states	harcourt brace
Nebula Awards 32		science fiction	x, 326 pp.		united states	harcourt brace
On the Postcolony	achille mbembe	non-fiction	274			
When the Music's Over (novel)	peter robinson	crime novel			canada	hodder  &  stoughton
The Free Fishers	john buchan	novel			england	hodder  &  stoughton
Nebula Awards 31		science fiction	xiv, 334 pp.		united states	harcourt brace
Nebula Awards 30		science fiction	xv, 350 pp.		united states	harcourt brace
Brightness Falls from the Air	james tiptree jr.	science fiction novel	382		united states	tor books
One of Us (book)	åsne seierstad	non-fiction	544pp (hc translation)  < !--		norway	virago press (uk)
Abattoir Blues (novel)	peter robinson	crime novel			canada	hodder  &  stoughton
Impossible Subjects	mae m. ngai	non-fiction	416			princeton university press
Lest Darkness Fall and Related Stories	l. sprague de camp and others	science fiction	287 pp.		united states	phoenix pick
Iron Gold	pierce brown	science fiction	596		united states	del rey books (us)
Draft:A New Look at Britain's Economic Policy	juliet rhys-williams	non-fiction	179			penguin books
Orphan X	gregg hurwitz	fiction	368			minotaur books
John Crow's Devil	marlon james	fiction	206 pages		united states	
Nebula Award Stories 1965	edited by damon knight	science fiction	xii, 299 pp.		united states	doubleday
Vallista	steven brust	fantasy novel	352		united states	tor books
A Decent Ride	irvine welsh	novel	288		scotland	jonathan cape – vintage
Nebula Awards 27	edited by james morrow	science fiction	xv, 331 pp.		united states	harcourt brace
Swapnatirtha	radheshyam sharma	novel	174		india	r. r. sheth  &  co., mumbai
Nebula Awards 26		science fiction	xv, 332 pp.		united states	harcourt brace jovanovich
Boss (book)	mike royko	non-fiction			united states	e.p. dutton  &  co. (hardcover)
Furious George (book)	george karl, curt sampson	non-fiction	256		united states	harpercollins
Binti: Home	nnedi okorafor	science fiction	176		united states	tor.com
Bright, Precious Days	jay mcinerney	novel			united states	
Nebula Awards 23	edited by michael bishop	science fiction	x, 370 pp.		united states	harcourt brace jovanovich
The Undoing Project	michael lewis	non-fiction	368		united states	w. w. norton  &  company
Haym Salomon, Son of Liberty	howard fast	historical novel	243 pages		united states	julian messner
List of Transformers books	casey todd	science fiction	73			ballantine books
The Lost Continent: The Story of Atlantis	c. j. cutcliffe hyne	fantasy novel			united kingdom	hutchinson
Gifts of Deceit	robert boettcher	non-fiction	402		united states	holt, rinehart and winston
Est: The Steersman Handbook	l. clark stevens	science fiction	154		united states	bantam books,   capricorn press
Bill Badger and the Pirates	bb	fantasy novel	138		united kingdom	hamish hamilton
The Day the Leader was Killed	naguib mahfouz	novel			egypt	doubleday eng. trans.
By the Great Horn Spoon!	sid fleischman	children's novel	193		united states	little, brown and company
What Mad Universe	fredric brown	science fiction	255		united states	e. p. dutton
Martians, Go Home	fredric brown	science fiction	189		united states	e. p. dutton
Come Rack! Come Rope!	robert hugh benson	historical novel			united kingdom	burns  &  oates  &  hutchinson
On Chesil Beach	ian mcewan	fiction	166		united kingdom	jonathan cape
Infinity's Shore	david brin	science fiction	644		united states	
Wasteland (novel)	francesca lia block	fiction	150			
Touching Darkness	scott westerfeld	science fiction novel	306 pp		united states	eos books
The Troika	stepan chapman	science fiction	256 (paperback edition)		united states	ministry of whimsy press
Eye (short story collection)	frank herbert	science fiction	328		united states	berkley books
Blue Noon	scott westerfeld	science fiction novel	344 pp		united states	eos books
The Program (novel)	gregg hurwitz	novel	368 pp		usa	william morrow
Bid Time Return	richard matheson	science fiction	278 pp		united states	viking press
Winter of Fire	sherryl jordan	fantasy				scholastic
The White Lioness	henning mankell	crime novel	372 pp (eng. hardback trans.)		sweden	ordfront
The Fifth Woman	henning mankell	crime novel	428 pp (eng. hardback trans.)		sweden	ordfront
Before the Frost	henning mankell	crime novel	388 pp (eng. hardback trans.)			leopard förlag
Chronicler of the Winds	henning mankell	novel				
Black Man	richard morgan	science fiction	560 pp (hardcover)  546  (paperback)		great britain	victor gollancz ltd
Cults: Faith, Healing and Coercion	marc galanter (md)	non-fiction	240		united states	oxford university press
Blood Secret	kathryn lasky	novel	256 pp (first edition, hardback)		united states	harpercollins
All Gods Children (book)	carroll stoner, jo anne parke	non-fiction	324		united states	chilton book co
Overclocked: Stories of the Future Present	cory doctorow	science fiction			united states	
Forest of the Pygmies	isabel allende	fantasy novel	224 (spanish version)			plaza  &  james editores   (spanish version)    & dq=forest+of+the+pygmies & hl=es & sa=x & ei=gfv5ut6jmylekqeq24docw & redir_esc=y google books
Blast Off at Woomera	hugh walters	science fiction novel	187		united kingdom	faber
Death Star (novel)	michael reaves  steve perry	science fiction	336		united states	del rey
The Domes of Pico	hugh walters	science fiction novel	191		united kingdom	faber
Hollywood (Vidal novel)	gore vidal	historical novel	448pp		united states	random house
Operation Columbus	hugh walters	science fiction novel	191		united kingdom	faber
Moon Base One	hugh walters	science fiction novel	192		united kingdom	faber
Expedition Venus	hugh walters	science fiction novel	160		united kingdom	faber
Love and War (Dragonlance)	margaret weis and tracy hickman	fantasy novel	368 pp		united states	wizards of the coast
Exit Ghost	philip roth	novel	292		united states	houghton mifflin
Destination Mars	hugh walters	science fiction novel	160		united kingdom	faber
The Excalibur Alternative	david weber	science fiction			united states	baen books
Doctor Dolittle's Circus	hugh lofting	children's novel			united kingdom	frederick a. stokes
Superstars (novel)	ann scott	fiction	310		france	flammarion
Who is Guru Maharaj Ji?	charles cameron, editor  rennie davis, introduction	non-fiction			united states	bantam books
Cockroaches (novel)	jo nesbø	crime novel			norway	
Terror by Satellite	hugh walters	science fiction novel	159		united kingdom	faber
Journey to Jupiter	hugh walters	science fiction novel	159		united kingdom	faber
The Last Summer (of You and Me)	ann brashares	novel	320 pp		united states	riverhead books
Mission to Mercury	hugh walters	science fiction novel	160		united kingdom	faber
Spaceship to Saturn	hugh walters	science fiction novel	160		united kingdom	faber
Phoenix and Ashes	mercedes lackey	fantasy	480		united states	daw books
The Mohole Mystery	hugh walters	science fiction novel	185		united kingdom	faber
Nearly Neptune	hugh walters	science fiction	165		united kingdom	faber
The Tenth City	patrick carman	fantasy	208		united states	scholastic corporation
Dayworld	philip josé farmer	science fiction	320		united states	
The Cry of the Icemark	stuart hill	fantasy novel	472 pp		united kingdom	the chicken house
First Contact?	hugh walters	science fiction novel	174		united kingdom	faber
Passage to Pluto	hugh walters	science fiction novel	148		united kingdom	faber
Beautiful Stranger (Zoey Dean novel)	zoey dean	novel	304 pp		united states	little brown
British Summertime (novel)	paul cornell	science fiction novel	341 pp		united kingdom	gollancz
Inshallah (novel)	oriana fallaci	novel	599		italy, lebanon	doubleday
The Modern World (novel)	steph swainston	fantasy novel	336 pp		united kingdom	gollancz
How Doctors Think	jerome groopman	non-fiction	305 pp (first edition, hardback)		united states	houghton mifflin
Lion of Macedon	david gemmell	fantasy novel	516 pp (paperback)		united kingdom	random house
Tony Hale, Space Detective	hugh walters	science fiction novel	154		united kingdom	faber
Murder on Mars	hugh walters	science fiction novel	131		united kingdom	faber
Doubt: A History	jennifer michael hecht	non-fiction			united states	harper collins
Argall: The True Story of Pocahontas and Captain John Smith	william t. vollmann	historical novel	736 pp		author: united states	viking press
The Wood Beyond the World	william morris	fantasy novel	261 pp		united kingdom	kelmscott press
The Water of the Wondrous Isles	william morris	fantasy novel	340 pp		united kingdom	kelmscott press
The Sundering Flood	william morris	fantasy novel	508 pp		united kingdom	kelmscott press
IBM and the Holocaust	edwin black	non-fiction			united states	crown books
Engleby	sebastian faulks	fiction			united kingdom	hutchinson
The Time Traders	andre norton	science fiction	219		united states	world publishing co.
Dawn (McLaughlin novel)	dean mclaughlin	science fiction	307 (hc)		united states	analog  &  five star
Invincible (Star Wars novel)	troy denning	science fiction			united states	del rey
Little Children (novel)	tom perrotta	novel	368 pp		united states	st. martin's press
The Landscape of Love	sally beauman	fiction	428		great britain	time warner books
A Dedicated Man	peter robinson	crime novel			canada	
Is Shakespeare Dead?	mark twain	non-fiction	149		united states	harper  &  brothers
Oath of Swords	david weber	fantasy			united states	baen books
Maske: Thaery	jack vance	science fiction			united states	putnam publishing
With Women	david vernon	non-fiction	248		australia	australian college of midwives
Kindred Spirits (novel)	mark anthony and ellen porath	fantasy novel	337 pp		united states	tsr, inc.
The Mystery of the Stuttering Parrot	robert arthur, jr.	children's novel	182 (first, hardback edition)		united states	
Empress Orchid	anchee min	historical novel				bloomsbury
The Blind Side: Evolution of a Game	michael lewis	non-fiction	352		united states	w. w. norton  &  company
Katrina (novel)	sally salminen	novel	347		finland	holger schildts förlag   refers to the swedish language edition
Krabat (novel)	otfried preußler	children's novel			germany	new york review books in us
Founding Brothers	joseph ellis	non-fiction	304 (248 without source notes)		united states	alfred a. knopf
Tea with the Black Dragon	r. a. macavoy	fantasy novel	166		united states	bantam books
Radio tekee muron	kaisa jaakkola, heta-leena laine, jari rantschukoff (ed.)	non-fiction	136		finland	yle export
The Physics of Star Trek	lawrence m. krauss	non-fiction	208		united states	harperperennial
Under a Velvet Cloak	piers anthony	fantasy	228		united states	mundania press
The Listeners (novel)	james e. gunn	science fiction novel	275		united states	charles scribner's sons
The Disappearing Dwarf	james blaylock	fantasy novel	275		united states	del rey
Defending Identity	natan sharansky with shira wolosky weiss	non-fiction	234 pp.		united states	public affairs
The Shadow Club	neal shusterman	fiction				penguin group
The Other Queen	philippa gregory	historical novel	448		united kingdom	harpercollins
Mistress of the Empire		fantasy	613		united states	doubleday
Servant of the Empire		fantasy	580 (first edition)		united states	doubleday
Daughter of the Empire		fantasy	394 (first edition)		united states	doubleday
Waiting for the Galactic Bus	parke godwin	science fiction	244 pages		united states	doubleday
The Gypsy Morph	terry brooks	fantasy			united states	del rey books
Threshold (Douglass novel)	sara douglass	fantasy novel			australia	voyager books
The Sea of the Ravens	harold lamb	historical novel	190 pp		united states	donald m. grant, publisher, inc.
Sense of Place	george seddon	non-fiction	274		australia	university of western australia press
The Chronology of Ancient Kingdoms Amended	isaac newton	non-fiction			england	j. tonson, j. osborn,  &  t. longman
To the Stars (novel)	l. ron hubbard	science fiction	157 pp		united states	
The Hundred-Year Christmas	david morrell	fantasy novel	72 pp		united states	donald m. grant, publisher, inc.
General Winston's Daughter	sharon shinn	fantasy	352 pp		united states	dutton juvenile
Daughter of Regals	stephen r. donaldson	fantasy	124 pp		united states	donald m. grant, publisher, inc.
The Adventures of Samurai Cat	mark e. rogers	fantasy	127 pp		united states	donald m. grant, publisher, inc.
Foxfire: Confessions of a Girl Gang	joyce carol oates	novel			united states	dutton
The Far Islands and Other Tales of Fantasy	john buchan	fantasy	206 pp			donald m. grant, publisher
The Scourge of God (novel)	s. m. stirling	science fiction	464		united states	roc books
Kull (short story collection)	robert e. howard	fantasy	223 pp		united states	lancer books
The Book of Kane	karl edward wagner	fantasy	224 pp		united states	donald m. grant, publisher, inc.
Plum Lovin'	janet evanovich	crime novel	176 pages		united states	st. martin's press
The Nazi and the Barber	edgar hilsenrath	novel			united states	doubleday
The Princes of the Golden Cage (novel)	nathalie mallet	fantasy	320pp		united states	night shade books
Marianne and Mark	catherine storr	children's novel			united kingdom	faber and faber
Kushiel's Mercy	jacqueline carey	fantasy	653 (hardback)		united states	warner books
Return of the Crimson Guard	ian cameron esslemont	fantasy novel	743 pp (ps publishing edition)		united kingdom	
The Curious Quests of Brigadier Ffellowes	sterling e. lanier	fantasy	254 pp		united states	donald m. grant, publisher, inc.
Firefly Summer	maeve binchy	novel			ireland	
To the Stars: The Autobiography of George Takei	george takei	non-fiction	352		united states	pocket books
The Magician Out of Manchuria	charles g. finney	fantasy novel	129 pp		united states	donald m. grant, publisher, inc.
The Last Fine Time	verlyn klinkenborg	non-fiction	209 pp		united states	knopf
De Niro's Game	rawi hage	novel	288 pp		canada/lebanon	old street
Risky is the New Safe: The Rules Have Changed	randy gage	non-fiction			united states	john wiley  &  sons
The Eagle and the Wolves	simon scarrow	historical novel			united kingdom	headline (uk)
Passage (Bujold novel)	lois mcmaster bujold	fantasy	437  (first edition, hardback)		united states	eos (harpercollins)
Ledfeather	stephen graham jones	novel	216 pp (first edition, paperback)		united states	fc2
The Character of Rain	amélie nothomb	novel			france	
The DAW Science Fiction Reader	donald a. wollheim (editor)	science fiction	207 pp		united states	daw books
Mrs. God (novel)	peter straub	fantasy	201, iv		united states	donald m. grant, publisher, inc.
Bright Shiny Morning	james frey	fiction			united states	harpercollins
Mga Ibong Mandaragit	amado v. hernandez	fiction			philippines	
The Face in the Abyss	a. merritt	fantasy	343		united states	argosy all-story weekly  argosy  horace liveright
Dressed to Kill (book)	sydney ross singer, soma grismaijer	non-fiction	192 (first edition), 188 (second edition)		united states	avery publishing group/penguin putnam (first edition)  square one publishers (second edition)
Sea Change (Parker novel)	robert b. parker	crime novel	304		united states	putnam
Khasakkinte Itihasam	o.v. vijayan	novel			india	dc books
Street of Shadows (novel)	michael reaves	science fiction	308		united states	del rey
The Last Legends of Earth	a. a. attanasio	science fiction novel	450		united states	bantam / spectra
Harris and Me	gary paulsen	fiction	168 pp (first edition)		united states	harcourt children's books
Millennium Falcon (novel)	james luceno	science fiction	320		united states	del rey
The Haunted Pampero	william hope hodgson	fantasy	2724 pp		united states	donald m. grant, publisher, inc.
The Storms of Chai	joe dever	fantasy			united kingdom	holmgard press
The Weakness (novel)	k. a. applegate	science fiction novel	129		united states	scholastic
Omensetter's Luck	william h. gass	novel	336 pp		united states	new american library
Poor Fellow My Country	xavier herbert	novel	1463		australia	collins (australia)
The Glass Canoe	david ireland	novel	213		australia	macmillan, australia
Swords and Crowns and Rings	ruth park	novel	435		australia	nelson, australia
The Moor of Peter the Great	alexander pushkin	historical novel			russian empire	
The Hangman's Daughter	oliver pötzsch	historical novel			germany	ullstein taschenbuch
With Their Backs to the World	åsne seierstad	non-fiction	340 pp (paperback)		norway	virago
Becoming Naomi León	pam muñoz ryan	children's novel	246 pages		united states	scholastic press
One Hundred And One Days: A Baghdad Journal	åsne seierstad	non-fiction	336pp (paperback)		norway	virago
Angel of Grozny	åsne seierstad	non-fiction	352pp (hardback)		norway	virago
Feast of Souls	c. s. friedman	fantasy	464  (hardcover)		united states	daw books
Thorns (novel)	robert silverberg	science fiction	222		united states	ballantine
The Ballad of Desmond Kale	roger mcdonald	novel	638		australia	vintage, australia
John Adams (book)	david mccullough	non-fiction	751 pages		united states	
Issues in Science and Religion	ian barbour	non-fiction				prentice hall
Confederate Military History		non-fiction			u.s.	confederate publishing company
Two to the Fifth	piers anthony	fantasy novel	304		united states	tor books
The Dolphins of Laurentum	caroline lawrence	historical novel	224 pp (first edition, hardback)		united kingdom	orion books
The Rape of the A*P*E*	allan sherman	non-fiction	410 pp  < !--		united states	
Jumper Cable	piers anthony	fantasy novel			united states	tor books
Knot Gneiss	piers anthony	fantasy novel	304		united states	tor books
Kaboom (book)	matt gallagher	non-fiction	310		united states	da capo press
Tree: A Life Story	david suzuki  &  wayne grady	non-fiction	192		canada	greystone books
Harvesting the Heart	jodi picoult	novel			united states	viking
The Annotated Turing	charles petzold	non-fiction	372			john wiley  &  sons
Blue Willow	doris gates	children's novel	172pp		united states	viking press
Abbé Jules	octave mirbeau	novel			france	ollendorff
Escape from Hell (novel)	larry niven, jerry pournelle	fantasy	336 (hardcover)		united states	tor books
Milly-Molly-Mandy Stories	joyce lankester brisley	novel			united kingdom	
Land of Terror	edgar rice burroughs	fantasy			united states	
Savage Pellucidar	edgar rice burroughs	fantasy	274		united states	canaveral press
The Remorseful Day	colin dexter	crime novel	384p.		united kingdom	macmillan
Logan's World	william f. nolan	science fiction	149 pp (first edition, paperback)		united states	
Bones of the Hills	conn iggulden	historical novel	416 pp (first edition)		united kingdom	harpercollins
Jumper: Griffin's Story (novel)	steven gould	science fiction novel	139 pp		united states	tor books
Bella at Midnight	diane stanley	fantasy novel	278		united states	harpercollins
Such Is Life (novel)	joseph furphy	novel			australia	
The Beggar of Volubilis	caroline lawrence	historical novel	272pp (first edition, hardback)		united kingdom	orion children's books
The Voyage of the Sable Keech	neal asher	science fiction novel	584		united kingdom	tor
The String of Pearls	unknown but probably   james malcolm rymer  and/or thomas peckett prest	fiction	732 pp (book)		united kingdom	
A Gentleman's Guide to Graceful Living	michael dahlie	novel	256 pp		united states	w. w. norton
Zoe's Tale	john scalzi	science fiction	366		united states	
Tirra Lirra by the River	jessica anderson	novel	141		australia	macmillan, australia
A Woman of the Future	david ireland	novel	351pp		australia	penguin, australia
The Eagles' Brood	jack whyte	historical novel			canada	tor books penguin books
The End of Oil	paul roberts	non-fiction	400		united states	houghton mifflin
Illegal Citizens	afdhere jama	non-fiction	184 pp (first edition, paperback)		united states	salaam press
The Impersonators	jessica anderson	novel	252pp		australia	macmillan, australia
Just Relations	rodney hall	novel	502		australia	penguin, australia
The Doubleman	christopher koch	novel	326pp		australia	chatto and windus, england
Swords and Deviltry	fritz leiber	fantasy	254 p.		united states	ace books
Jhegaala	steven brust	fantasy novel	304 (1st ed., hardback)		united states	tor books
The Well (novel)	elizabeth jolley	novel	176		australia, england	viking press, australia
Investigations into Germanic Mythology	viktor rydberg	non-fiction			sweden	
The Deniers	lawrence solomon	non-fiction	239		united states	richard vigilante books
The Slave-Girl from Jerusalem	caroline lawrence	historical novel	240pp		united kingdom	orion books
Goliath (Alten novel)	steve alten	science fiction	512		united states	st. martin's press
Dancing on Coral	glenda adams	novel	291 pp		australia	viking press, usa
The Unwilling Warlord	lawrence watt-evans	fantasy	311  (paperback 1st edition)		united states	del rey books (ballantine)
Physics of the Impossible	michio kaku	non-fiction				doubleday publishing
Beyond Thirty	edgar rice burroughs	science fiction novel	57 p.		united states	fantasy press
Century (novel)	fred mustard stewart	novel	546 p. (paperback edition)		united states	signet books
Foreigner (Sawyer novel)	robert j. sawyer	science fiction	317		canada	ace books
Justice Undone	thor vilhjálmsson	crime novel				mál og menning
Relic of Empire	w. michael gear	science fiction novel	626 pp (reissue paperback edition)		united states	daw books
The Lost Fleet: Valiant	jack campbell	science fiction	284		united states	ace books
The Lost Fleet: Dauntless	jack campbell	science fiction	293		united states	ace books
Chain of Blame	paul muolo and mathew padilla	non-fiction	328 pp.		united states	john wiley and sons
The Long Trial of Nolan Dugatti	stephen graham jones	novel	pp (first edition, paperback)		united states	chiasmus
Girls under Pressure	jacqueline wilson	children's novel			united kingdom	
The Klingon Gambit	robert e. vardeman	science fiction novel	158 pp		united states	pocket books
The Covenant of the Crown	howard weinstein	science fiction novel	191 pp		united states	pocket books
The Prometheus Design	sondra marshak and myrna culbreath	science fiction novel	190		united states	pocket books
The Abode of Life	lee correy	science fiction novel	207 pp		united states	pocket books
Black Fire (novel)	sonni cooper	science fiction novel	220 pp		united states	pocket books
Collision Course (Silverberg novel)	robert silverberg	science fiction	224		united states	avalon books
Highways to a War	christopher koch	novel	450		australia	heinemann, australia
In Her Shoes (novel)	jennifer weiner	fiction			united states	washington square press
Mutiny on the Enterprise	robert e. vardeman	science fiction novel	189 pp		united states	pocket books
Gunahon Ka Devta (novel)	dharamvir bharati	fiction	258			bhartiya jnanpith
Corona (novel)	greg bear	science fiction novel	192 pp		united states	pocket books
My Enemy, My Ally	diane duane	science fiction novel	309 pp		united states	pocket books
Shadow Lord (novel)	laurence yep	science fiction novel	280 pp		united states	pocket books
Killing Time (Star Trek novel)	della van hise	science fiction novel	311 pp		united states	pocket books
Dwellers in the Crucible	margaret wander bonanno	science fiction novel	308 pp		united states	pocket books
Pawns and Symbols	majliss larson	science fiction novel	277 pp		united states	pocket books
Rewired: The Post-Cyberpunk Anthology	edited by james patrick kelly and john kessel	science fiction	320		united states	tachyon publications
Mindshadow	j.m. dillard	science fiction novel	252 pp		united states	pocket books
Crisis on Centaurus	brad ferguson	science fiction	254 pp		united states	pocket books
Dreadnought!	diane carey	science fiction novel	252		united states	pocket books
Battlestations!	diane carey	science fiction novel	274		united states	pocket books
Chain of Attack	gene deweese	science fiction	251 pp		united states	pocket books
Deep Domain	howard weinstein	science fiction novel	275 pp		united states	pocket books
Dreams of the Raven	carmen carter	science fiction novel	255 pp		united states	pocket books
The IDIC Epidemic	jean lorrah	science fiction novel	278 pp		united states	pocket books
Memory Prime	judith and garfield reeves-stevens	science fiction novel	320 pp		united states	pocket books
The Final Nexus	gene deweese	science fiction	282 pp		united states	pocket books
Double, Double (Star Trek novel)	michael jan friedman	science fiction novel	308 pp		united states	pocket books
The Cry of the Onlies	judy klass	science fiction	336 pp		united states	pocket books
Rules of Engagement (Star Trek novel)	peter morwood	science fiction	245 pp		united states	pocket books
Pastors and Masters	ivy compton-burnett	novel	126		united kingdom	heath cranton
The Pandora Principle	carolyn clowes	science fiction	273 pp		united states	pocket books
Doctor's Orders (novel)	diane duane	science fiction novel	291 pp		united states	pocket books
Enemy Unseen	v.e. mitchell	science fiction novel	279 pp		united states	pocket books
The Murder Book	jonathan kellerman	crime novel	408		united states	ballantine
Beyond the Farthest Star (novel)	edgar rice burroughs	science fiction			united states	ace books
Circus World (novel)	barry b. longyear	science fiction	182		united states	berkley books, new york
Home Is the Hunter	dana kramer-rolls	science fiction novel	288 pp		united states	pocket books
The Wild Trees	richard preston	non-fiction	294		united states	anchor books
Wings of Hell	david sherman  &  dan cragg	science fiction			united states	del rey books
The Way To Cook	julia child	non-fiction	511		united states	alfred a. knopf
Practical Magic (novel)	alice hoffman	fiction	286		united states	
The Samurai's Garden	gail tsukiyama	novel	226			st. martin's griffin
Panther in the Basement	amos oz	novel	160		united states	harvest books
The Barbecue Bible	steven raichlen	non-fiction	572		united states	workman publishing
The Magic Thief	sarah prineas	fantasy novel	419		united states	harpercollins (usa) and quercus (uk)
Pendragon: Before the War	carla jablonski (book one)   walter sorrells (book two/three)	fantasy novel			united states	aladdin
Every Man Dies Alone	hans fallada	fiction			west germany	melville house publishing
Das Königsprojekt	carl amery	science fiction novel			germany	piper
Eternal Curse on the Reader of These Pages	manuel puig	novel	232 (paperback edition)		spain	random house
Keziah Dane	sue grafton	novel	220 (first edition)		united states	the macmillan company
The Headless Cupid	zilpha keatley snyder	children's novel	203		united states	atheneum books
The Fifth Man (novel)	john b. olsen and randall s. ingermanson	science fiction	361 (paperback edition)		united states	bethany house
Oxygen (Olson and Ingermanson novel)	john b. olson and randall s. ingermanson	science fiction	365 (paperback edition)		united states	bethany house
Baden-Powell (book)	tim jeal	non-fiction				hutchinson (first edition)
Wine of the Dreamers	john d. macdonald	science fiction	219		united states	greenberg
Empire Star	samuel r. delany	science fiction	102 pp		united states	ace books
Public Enemy Number Two	anthony horowitz	children's novel			united kingdom	walker books
Battleaxe (novel)	sara douglass	fantasy novel	674 pp (first edition)		australia	voyager books
Avenger (Shatner novel)	william shatner	science fiction			united states	
The Ashes of Eden	william shatner, judith reeves-stevens, garfield reeves-stevens	science fiction	309 pp. (hardcover 1st edition)		united states	pocket books
Black Coffee (novel)	agatha christie	crime novel	188 pp (first edition, hardback)		united kingdom	harpercollins
Onion John	joseph krumgold	children's novel			united states	thomas y. crowell
Sunwing	kenneth oppel	fantasy novel	243 pp (first edition)		canada	harpercollins
